provinsi,jenis,daerah,tahun,periode,gk,Cluster
0,0,2,2015,0,-0.06453668146612793,0
0,0,2,2015,1,-0.01123023762960343,0
0,0,2,2016,0,0.014787555797902004,0
0,0,2,2016,1,0.1003016885092048,0
0,0,0,2015,0,-0.04062433766471225,0
0,0,0,2015,1,0.01791095554351262,0
0,0,0,2016,0,0.0745620926298914,0
0,0,0,2016,1,0.13245879601158453,0
0,0,1,2015,0,-0.047408564237668094,0
0,0,1,2015,1,0.00963457848479947,0
0,0,1,2016,0,0.0562516358216154,0
0,0,1,2016,1,0.12420138696752085,0
0,0,2,2017,0,0.16596263255407573,0
0,0,2,2017,1,0.2776083667807807,0
0,0,2,2018,0,0.3026840821473631,0
0,0,2,2018,1,0.3566860198543677,0
0,0,0,2017,0,0.17300608866057418,0
0,0,0,2017,1,0.26660059561254573,0
0,0,0,2018,0,0.31620195392087624,0
0,0,0,2018,1,0.3702481503287296,0
0,0,1,2017,0,0.1710523831516801,0
0,0,1,2017,1,0.2696481232995585,0
0,0,1,2018,0,0.31225660687378914,0
0,0,1,2018,1,0.3662775125954432,0
0,0,2,2019,0,0.38021900336279424,0
0,0,2,2019,1,0.4660808830093371,0
0,0,2,2020,0,0.5951013186549449,0
0,0,2,2020,1,0.6044462272055774,0
0,0,0,2019,0,0.4345054612895407,0
0,0,0,2019,1,0.5277079626054235,0
0,0,0,2020,0,0.5861800290981501,0
0,0,0,2020,1,0.5937735576294828,0
0,0,1,2019,0,0.418490134253849,0
0,0,1,2019,1,0.5088284653576638,0
0,0,1,2020,0,0.5888165831344246,0
0,0,1,2020,1,0.5969348934043923,0
0,0,2,2021,0,0.7216875257538723,0
0,0,2,2021,1,0.7727683892048605,0
0,0,2,2022,0,0.9144088772639071,2
0,0,2,2022,1,1.1214637251773816,2
0,0,0,2021,0,0.6513161914043861,0
0,0,0,2021,1,0.7007658055955209,0
0,0,0,2022,0,0.8232106628293169,2
0,0,0,2022,1,1.0004604370569445,2
0,0,1,2021,0,0.6734645098434022,0
0,0,1,2021,1,0.7232618709697772,0
0,0,1,2022,0,0.8520041090671929,2
0,0,1,2022,1,1.0391362189271875,2
0,1,2,2015,0,-1.1835230923531053,1
0,1,2,2015,1,-1.1741718611309229,1
0,1,2,2016,0,-1.1518465078885118,1
0,1,2,2016,1,-1.126606403061634,1
0,1,0,2015,0,-1.3863480729997508,1
0,1,0,2015,1,-1.3671018608021017,1
0,1,0,2016,0,-1.3632703218429114,1
0,1,0,2016,1,-1.346300271403197,1
0,1,1,2015,0,-1.3287738258670985,1
0,1,1,2015,1,-1.312334879837569,1
0,1,1,2016,0,-1.3008845216608467,1
0,1,1,2016,1,-1.2815245013753007,1
0,1,2,2017,0,-1.113082208616571,1
0,1,2,2017,1,-1.0865080200926815,1
0,1,2,2018,0,-1.0707013412181339,1
0,1,2,2018,1,-1.0588589774053228,1
0,1,0,2017,0,-1.3242278250227786,1
0,1,0,2017,1,-1.3094580642824014,1
0,1,0,2018,0,-1.2840029886228297,1
0,1,0,2018,1,-1.259009467986395,1
0,1,1,2017,0,-1.260792461363444,1
0,1,1,2017,1,-1.2413439236762005,1
0,1,1,2018,0,-1.2175517106342315,1
0,1,1,2018,1,-1.1954539735676137,1
0,1,2,2019,0,-1.0516321638238797,1
0,1,2,2019,1,-1.034535659953169,1
0,1,2,2020,0,-1.0146571806005378,1
0,1,2,2020,1,-1.0098709182373247,1
0,1,0,2019,0,-1.2453208840810368,1
0,1,0,2019,1,-1.2244244546088847,1
0,1,0,2020,0,-1.1863493265358744,1
0,1,0,2020,1,-1.1827011450516287,1
0,1,1,2019,0,-1.1827327584093779,1
0,1,1,2019,1,-1.1625571134939052,1
0,1,1,2020,0,-1.1305643954518207,1
0,1,1,2020,1,-1.1255125808835154,1
0,1,2,2021,0,-0.9874444022501165,1
0,1,2,2021,1,-0.9658524789074845,1
0,1,2,2022,0,-0.923345158078051,1
0,1,2,2022,1,-0.8785237394613836,1
0,1,0,2021,0,-1.1493743433125325,1
0,1,0,2021,1,-1.1231731924100823,1
0,1,0,2022,0,-1.0890560567272587,1
0,1,0,2022,1,-1.0314881322661562,1
0,1,1,2021,0,-1.0951827254590334,1
0,1,1,2021,1,-1.0701828821510488,1
0,1,1,2022,0,-1.0327084078752713,1
0,1,1,2022,1,-0.9791680251914034,1
0,2,2,2013,0,0.34972475847801693,0
0,2,2,2013,1,0.4448430292734949,0
0,2,2,2014,0,0.5012728728556299,0
0,2,2,2014,1,0.5882285746802915,0
0,2,0,2013,0,0.09807610812366849,0
0,2,0,2013,1,0.2153363746866128,0
0,2,0,2014,0,0.2927385197994977,0
0,2,0,2014,1,0.4130463140494548,0
0,2,2,2015,0,0.6734265738141033,0
0,2,2,2015,1,0.7360842488728102,0
0,2,2,2016,0,0.7844273955427268,0
0,2,2,2016,1,0.8951879557524571,2
0,2,0,2015,0,0.4945139369688734,0
0,2,0,2015,1,0.5722954423747475,0
0,2,0,2016,0,0.6327781184203166,0
0,2,0,2016,1,0.7076448722417241,0
0,2,1,2015,0,0.54530395752857,0
0,2,1,2015,1,0.618786046280567,0
0,2,1,2016,0,0.6768534617941053,0
0,2,1,2016,1,0.7641632332255567,0
0,2,2,2017,0,0.9743667715708412,2
0,2,2,2017,1,1.1125866943214358,2
0,2,2,2018,0,1.1534690885625658,2
0,2,2,2018,1,1.2193133900823814,2
0,2,0,2017,0,0.7702646112711321,0
0,2,0,2017,1,0.878628878963481,2
0,2,0,2018,0,0.953685312931383,2
0,2,0,2018,1,1.032731352647221,2
0,2,1,2017,0,0.8317462694215726,2
0,2,1,2017,1,0.9497905472566945,2
0,2,1,2018,0,1.0161912438728942,2
0,2,1,2018,1,1.092309886661166,2
0,2,2,2019,0,1.2500731871722512,2
0,2,2,2019,1,1.353025248017955,2
0,2,2,2020,0,1.5019304856877436,2
0,2,2,2020,1,1.5160553339300393,2
0,2,0,2019,0,1.1106709248418405,2
0,2,0,2019,1,1.2247698556298752,2
0,2,0,2020,0,1.321323372867162,2
0,2,0,2020,1,1.3325587602111906,2
0,2,1,2019,0,1.1572437234778077,2
0,2,1,2019,1,1.2677576994970952,2
0,2,1,2020,0,1.3797385353159404,2
0,2,1,2020,1,1.3929086601542136,2
0,2,2,2021,0,1.6557294711370922,2
0,2,2,2021,1,1.7284022579307126,2
0,2,2,2022,0,1.912543744147643,2
0,2,2,2022,1,2.1644263333493345,2
0,2,0,2021,0,1.4234281957251902,2
0,2,0,2021,1,1.4990789608187751,2
0,2,0,2022,0,1.6556409537353949,2
0,2,0,2022,1,1.890452329752575,2
0,2,1,2021,0,1.4997681320177054,2
0,2,1,2021,1,1.5745653364520649,2
0,2,1,2022,0,1.7407820488252583,2
0,2,1,2022,1,1.9814545413691207,2
34,0,2,2015,0,-0.26698862449133426,0
34,0,2,2015,1,-0.19368357054273205,0
34,0,2,2016,0,-0.08730462171702637,0
34,0,2,2016,1,-0.011868827456135156,0
34,0,0,2015,0,-0.23875157334984232,0
34,0,0,2015,1,-0.12173789097734097,0
34,0,0,2016,0,0.006561760111587406,0
34,0,0,2016,1,0.058989352602687055,0
34,0,1,2015,0,-0.25273100014649225,0
34,0,1,2015,1,-0.15736614516057137,0
34,0,1,2016,0,-0.04471510615744518,0
34,0,1,2016,1,0.026130428558277397,0
34,0,2,2017,0,0.05116188522401106,0
34,0,2,2017,1,0.11244121788485739,0
34,0,2,2018,0,0.1537725218060246,0
34,0,2,2018,1,0.26089122320305913,0
34,0,0,2017,0,0.0776791697039522,0
34,0,0,2017,1,0.11581752449246077,0
34,0,0,2018,0,0.18929329057290809,0
34,0,0,2018,1,0.2428716092860748,0
34,0,1,2017,0,0.06536892819645448,0
34,0,1,2017,1,0.11420524324725691,0
34,0,1,2018,0,0.17198181586950348,0
34,0,1,2018,1,0.2518687709014673,0
34,0,2,2019,0,0.31892702535884826,0
34,0,2,2019,1,0.39786557965833924,0
34,0,2,2020,0,0.46164869025291394,0
34,0,2,2020,1,0.4727765921805955,0
34,0,0,2019,0,0.2789930318501911,0
34,0,0,2019,1,0.4013304036676401,0
34,0,0,2020,0,0.45998582763531154,0
34,0,0,2020,1,0.4719609675506688,0
34,0,1,2019,0,0.2991307407363648,0
34,0,1,2019,1,0.39959799166298965,0
34,0,1,2020,0,0.46083306562298726,0
34,0,1,2020,1,0.4723845865445067,0
34,0,2,2021,0,0.5949116385084503,0
34,0,2,2021,1,0.6664653124377525,0
34,0,2,2022,0,0.8073028212099721,0
34,0,2,2022,1,0.974859939951727,2
34,0,0,2021,0,0.556868123793189,0
34,0,0,2021,1,0.6073989148193429,0
34,0,0,2022,0,0.7043254696780691,0
34,0,0,2022,1,0.8484634129992943,2
34,0,1,2021,0,0.5766264723863735,0
34,0,1,2021,1,0.6383104560264083,0
34,0,1,2022,0,0.7578089483179885,0
34,0,1,2022,1,0.9150095310611398,2
34,1,2,2015,0,-1.2725083717452588,1
34,1,2,2015,1,-1.2473188482907795,1
34,1,2,2016,0,-1.2366651467293346,1
34,1,2,2016,1,-1.214561086991167,1
34,1,0,2015,0,-1.5057580478896337,1
34,1,0,2015,1,-1.491626876975788,1
34,1,0,2016,0,-1.46115792277721,1
34,1,0,2016,1,-1.4442953577538427,1
34,1,1,2015,0,-1.3902491613459893,1
34,1,1,2015,1,-1.3706362341984506,1
34,1,1,2016,0,-1.3440746910176606,1
34,1,1,2016,1,-1.3284513696180578,1
34,1,2,2017,0,-1.2026238831051086,1
34,1,2,2017,1,-1.1804313059652438,1
34,1,2,2018,0,-1.1618932329811742,1
34,1,2,2018,1,-1.158826737279512,1
34,1,0,2017,0,-1.4166716057526831,1
34,1,0,2017,1,-1.3844702395494546,1
34,1,0,2018,0,-1.3667161778375627,1
34,1,0,2018,1,-1.3323840713220452,1
34,1,1,2017,0,-1.3075422948028061,1
34,1,1,2017,1,-1.2782872935417933,1
34,1,1,2018,0,-1.2584593955615608,1
34,1,1,2018,1,-1.2390677619182657,1
34,1,2,2019,0,-1.1038321401391857,1
34,1,2,2019,1,-1.038171196094315,1
34,1,2,2020,0,-1.028099180315453,1
34,1,2,2020,1,-1.0246153882915028,1
34,1,0,2019,0,-1.3032239101342797,1
34,1,0,2019,1,-1.2692016145247034,1
34,1,0,2020,0,-1.238252137288339,1
34,1,0,2020,1,-1.2380624571418446,1
34,1,1,2019,0,-1.1949671278582779,1
34,1,1,2019,1,-1.1437029069323448,1
34,1,1,2020,0,-1.1241089477994555,1
34,1,1,2020,1,-1.120915998666797,1
34,1,2,2021,0,-1.0041362551416388,1
